iter	Logloss
0	0.6788660951
1	0.6643460994
2	0.650269275
3	0.6385591762
4	0.6247307153
5	0.6120063412
6	0.6000032835
7	0.5882787042
8	0.5765954569
9	0.5655601096
10	0.5562651512
11	0.5445721073
12	0.53385613
13	0.5243522446
14	0.5157080093
15	0.5065832449
16	0.4988927351
17	0.4909356855
18	0.4825597002
19	0.4752425526
20	0.4686890464
21	0.4621099001
22	0.4547269862
23	0.4480020194
24	0.4422628539
25	0.4360673094
26	0.4297577898
27	0.4249747616
28	0.4193815169
29	0.4135478256
30	0.4078279589
31	0.4022965861
32	0.3976423721
33	0.3930875734
34	0.3891771797
35	0.385006658
36	0.3807490598
37	0.3765290005
38	0.3724447205
39	0.3680388048
40	0.3640890251
41	0.3598407613
42	0.3570237684
43	0.3530954483
44	0.349345213
45	0.3467396432
46	0.3436501396
47	0.3406576745
48	0.3380058296
49	0.3354375741
50	0.3331538671
51	0.3301764758
52	0.3277617898
53	0.3249601332
54	0.3219068997
55	0.3194867732
56	0.317420511
57	0.3153717651
58	0.3131859257
59	0.3109166931
60	0.3080034328
61	0.3058722192
62	0.3040814764
63	0.301555226
64	0.3000489446
65	0.2980002937
66	0.2959226687
67	0.2943117967
68	0.292771763
69	0.2910529582
70	0.2888232468
71	0.2868550422
72	0.285233401
73	0.2840023043
74	0.2820288297
75	0.2802914167
76	0.2785572326
77	0.2775589559
78	0.2759708055
79	0.2744708209
80	0.2728720915
81	0.2717577869
82	0.2703160702
83	0.2686541671
84	0.2663163563
85	0.2648805803
86	0.2637935721
87	0.2624730746
88	0.2613685701
89	0.2598006651
90	0.2586144688
91	0.2571066529
92	0.2557926234
93	0.2547660027
94	0.2533224837
95	0.2523541771
96	0.2505969135
97	0.2493347849
98	0.2483931643
99	0.2473983324
100	0.2463599331
101	0.24529038
102	0.2445545522
103	0.2428147893
104	0.2418342734
105	0.240914835
106	0.239634549
107	0.2379776633
108	0.2374266703
109	0.2363710695
110	0.2351843029
111	0.2333055779
112	0.2321046547
113	0.2311477711
114	0.2296268725
115	0.2287330888
116	0.2276468657
117	0.2264433755
118	0.2258376635
119	0.2250858253
120	0.2244128727
121	0.2233807069
122	0.2226832548
123	0.2216091086
124	0.2206488047
125	0.2199692014
126	0.2190148258
127	0.2182314038
128	0.217742795
129	0.216749743
130	0.2157268904
131	0.2143650046
132	0.2137906448
133	0.2131775763
134	0.2125969309
135	0.2116501923
136	0.2105344648
137	0.2096874372
138	0.2088539721
139	0.2081092109
140	0.2073730279
141	0.2066880508
142	0.2061917096
143	0.2054208634
144	0.2047257399
145	0.2034485753
146	0.202897674
147	0.2021832604
148	0.2013560716
149	0.200481339
150	0.1997059763
151	0.1991455178
152	0.1976782806
153	0.1972578901
154	0.1965810357
155	0.1961158251
156	0.1957191269
157	0.1949099025
158	0.1942757963
159	0.193880189
160	0.1929079108
161	0.1925423899
162	0.1918572197
163	0.1907313801
164	0.1902636834
165	0.1895979013
166	0.1889730933
167	0.1886689128
168	0.1881401941
169	0.187215723
170	0.1867817499
171	0.1862789504
172	0.1856989622
173	0.1853095927
174	0.1850811192
175	0.1844044066
176	0.1837865202
177	0.1833738953
178	0.1830380417
179	0.1825414656
180	0.1818760041
181	0.1815979792
182	0.1811294827
183	0.180720479
184	0.1803366543
185	0.1797123654
186	0.1792432558
187	0.1787557089
188	0.1782018478
189	0.1778404717
190	0.1775160388
191	0.1771348516
192	0.1766207671
193	0.175781967
194	0.1751093076
195	0.1747458344
196	0.17455695
197	0.1742708586
198	0.1739217637
199	0.1734436792
200	0.1729696911
201	0.1725923897
202	0.1721544069
203	0.1716559455
204	0.1713509632
205	0.1708682632
206	0.1706301065
207	0.1700918679
208	0.1692357678
209	0.1687304561
210	0.1685422272
211	0.1681326311
212	0.1678399112
213	0.1672827958
214	0.1667390055
215	0.1663962183
216	0.1657807781
217	0.1655599583
218	0.1650848905
219	0.164498859
220	0.1641209242
221	0.1637314221
222	0.1633410604
223	0.1631094784
224	0.1629127143
225	0.1623942934
226	0.1622069179
227	0.1615522032
228	0.1608729821
229	0.1605442146
230	0.1600141511
231	0.1596729444
232	0.1594513984
233	0.1587904364
234	0.1583395305
235	0.1580758941
236	0.1575600908
237	0.157155056
238	0.1568195582
239	0.1563687538
240	0.1561571693
241	0.1559407224
242	0.1555694323
243	0.1547469405
244	0.1544507773
245	0.1541646606
246	0.1539660287
247	0.1536826386
248	0.153394526
249	0.1532571687
250	0.1529436246
251	0.1525218092
252	0.1522010258
253	0.1519227133
254	0.1515206667
255	0.1513370512
256	0.1508255715
257	0.150407453
258	0.1499257083
259	0.149731431
260	0.1495455942
261	0.1491011151
262	0.1487360999
263	0.1486114337
264	0.148460101
265	0.1481896078
266	0.1479871529
267	0.1478173433
268	0.1474339397
269	0.1470962286
270	0.1469511312
271	0.1467696349
272	0.1465639977
273	0.1462628364
274	0.1458531405
275	0.1456251669
276	0.1451641268
277	0.1448080612
278	0.1444667569
279	0.1441743818
280	0.1439735443
281	0.1437703092
282	0.143304702
283	0.1428273816
284	0.1424331447
285	0.1421982738
286	0.1420437596
287	0.1419274198
288	0.141639533
289	0.1411743038
290	0.1408725809
291	0.140581448
292	0.1403273531
293	0.1400347996
294	0.139736581
295	0.1395401882
296	0.1391483871
297	0.1389250358
298	0.1386849017
299	0.1384703553
300	0.1381528972
301	0.1377358338
302	0.1374025599
303	0.1372142859
304	0.1370514631
305	0.1368397847
306	0.1365214402
307	0.1363686019
308	0.1362124084
309	0.1360858296
310	0.1358017298
311	0.1355518473
312	0.1353573866
313	0.135231957
314	0.1350502527
315	0.1347809187
316	0.1346199836
317	0.1344626623
318	0.1342652559
319	0.1338537079
320	0.1336618522
321	0.1333993763
322	0.1331618344
323	0.1330411513
324	0.1329116981
325	0.1326580914
326	0.1324406487
327	0.1319962096
328	0.1317481833
329	0.1315645625
330	0.1312651447
331	0.1310990482
332	0.1308280268
333	0.130538689
334	0.13044655
335	0.130243638
336	0.1300082097
337	0.129759491
338	0.1295334929
339	0.1293248627
340	0.1291250989
341	0.1288464727
342	0.1285426659
343	0.1283924491
344	0.1281935908
345	0.1280146927
346	0.1278536263
347	0.127548436
348	0.1274077938
349	0.1271999164
350	0.1270294715
351	0.1268824154
352	0.1266007067
353	0.1262999875
354	0.1259524767
355	0.1258013301
356	0.1256731492
357	0.1255627923
358	0.1254430608
359	0.1253062751
360	0.1249480399
361	0.1244896782
362	0.1243213905
363	0.1241350103
364	0.1237925571
365	0.1235852129
366	0.123397392
367	0.123046139
368	0.1227891731
369	0.1225634986
370	0.12229086
371	0.1220004662
372	0.1217573026
373	0.1215023269
374	0.1213154987
375	0.1209940465
376	0.1205358955
377	0.1204159862
378	0.1202735802
379	0.1201598587
380	0.1198793537
381	0.1197408782
382	0.1196489206
383	0.1195368586
384	0.1192283493
385	0.1190274438
386	0.1188555717
387	0.1186087494
388	0.1184641344
389	0.1182272286
390	0.1180163868
391	0.1179285784
392	0.1176234274
393	0.1173112888
394	0.117002168
395	0.1169010514
396	0.1165760609
397	0.1164475302
398	0.116315765
399	0.1161918037
400	0.1160964072
401	0.1159180231
402	0.1156966859
403	0.1155787528
404	0.1153429596
405	0.1151106133
406	0.1149632792
407	0.1148303639
408	0.1146262608
409	0.1142993537
410	0.1140069321
411	0.1138911885
412	0.1137355982
413	0.1135833569
414	0.1133989023
415	0.1132090242
416	0.1130331613
417	0.1129553179
418	0.1128464102
419	0.1125830311
420	0.1124335886
421	0.1122762286
422	0.1121439606
423	0.1118732453
424	0.111812446
425	0.1116744579
426	0.1115085575
427	0.1114389701
428	0.1113216261
429	0.1111628426
430	0.1109703031
431	0.110825349
432	0.1107060687
433	0.1105290851
434	0.1102350754
435	0.1100828333
436	0.1099434842
437	0.1097873659
438	0.1095328153
439	0.1093188224
440	0.1092129069
441	0.1091237337
442	0.1089721907
443	0.1085725575
444	0.1084109752
445	0.1081708048
446	0.1079983238
447	0.1078869643
448	0.1077877848
449	0.1075557255
450	0.1074087477
451	0.1072472365
452	0.1070575217
453	0.1069558804
454	0.1067849126
455	0.1066155393
456	0.1065220078
457	0.1063230904
458	0.106121905
459	0.1060434562
460	0.1057957486
461	0.1057042987
462	0.105578519
463	0.1055108703
464	0.1054000747
465	0.105254719
466	0.1049628901
467	0.1047558762
468	0.1045281251
469	0.1044252257
470	0.1042768145
471	0.1040430448
472	0.1039765217
473	0.1038002453
474	0.1035686559
475	0.1034690333
476	0.1033216162
477	0.1031516589
478	0.102950827
479	0.1028541065
480	0.1027378036
481	0.1026389759
482	0.1025662028
483	0.1023183898
484	0.102008315
485	0.1017971591
486	0.1016540861
487	0.1015653408
488	0.1014666113
489	0.1013469902
490	0.1011865118
491	0.1011008907
492	0.1008999953
493	0.1006913358
494	0.1005412915
495	0.1004455363
496	0.1003292025
497	0.1002472911
498	0.1001135731
499	0.1000022688
500	0.09952515431
501	0.09924399094
502	0.09909908422
503	0.09900717266
504	0.0988111321
505	0.09872795034
506	0.09860818022
507	0.09849275267
508	0.09836327528
509	0.09828701961
510	0.09810928587
511	0.09801202645
512	0.09794261183
513	0.09785083804
514	0.0977313461
515	0.09759871325
516	0.09743460697
517	0.09733595658
518	0.09721083516
519	0.09711610241
520	0.0970180706
521	0.09687056514
522	0.09666440035
523	0.09643094683
524	0.096200556
525	0.09605148953
