iter	Passed	Remaining
0	7	7244
1	14	7056
2	20	6899
3	27	6835
4	34	6852
5	40	6777
6	47	6727
7	53	6647
8	59	6591
9	65	6506
10	71	6445
11	77	6417
12	83	6368
13	89	6322
14	95	6287
15	101	6252
16	107	6224
17	113	6190
18	119	6168
19	125	6144
20	131	6120
21	137	6097
22	143	6079
23	149	6063
24	156	6092
25	164	6165
26	171	6165
27	177	6145
28	183	6133
29	189	6116
30	195	6098
31	201	6083
32	207	6065
33	212	6050
34	218	6031
35	224	6017
36	230	6006
37	236	5991
38	242	5980
39	249	5991
40	255	5980
41	261	5970
42	267	5956
43	273	5947
44	279	5936
45	285	5926
46	291	5915
47	297	5902
48	303	5890
49	309	5880
50	315	5872
51	321	5865
52	327	5854
53	333	5845
54	339	5839
55	345	5830
56	351	5818
57	357	5809
58	363	5798
59	369	5787
60	375	5776
61	381	5766
62	387	5757
63	393	5748
64	398	5739
65	405	5734
66	411	5726
67	417	5717
68	423	5708
69	428	5698
70	434	5690
71	440	5681
72	447	5686
73	454	5687
74	462	5705
75	470	5725
76	477	5725
77	484	5726
78	491	5727
79	497	5726
80	506	5751
81	514	5759
82	521	5763
83	528	5758
84	535	5759
85	541	5750
86	547	5740
87	553	5732
88	559	5723
89	565	5713
90	571	5704
91	576	5693
92	582	5685
93	588	5675
94	594	5665
95	605	5699
96	613	5707
97	621	5722
98	627	5714
99	634	5707
100	640	5699
101	646	5689
102	652	5682
103	659	5679
104	666	5682
105	673	5684
106	680	5680
107	686	5672
108	693	5667
109	699	5658
110	705	5647
111	711	5637
112	717	5629
113	723	5620
114	728	5609
115	734	5599
116	741	5593
117	747	5585
118	753	5575
119	759	5566
120	764	5557
121	771	5551
122	777	5543
123	783	5534
124	789	5525
125	795	5516
126	801	5508
127	809	5512
128	817	5519
129	825	5521
130	831	5514
131	837	5507
132	844	5503
133	850	5495
134	856	5489
135	862	5480
136	868	5470
137	874	5461
138	880	5453
139	886	5445
140	892	5437
141	898	5430
142	904	5421
143	910	5412
144	916	5403
145	922	5394
146	928	5385
147	934	5377
148	942	5384
149	951	5389
150	961	5404
151	967	5398
152	973	5390
153	980	5383
154	986	5377
155	992	5368
156	998	5359
157	1004	5351
158	1009	5342
159	1017	5339
160	1022	5330
161	1028	5322
162	1034	5313
163	1041	5308
164	1047	5303
165	1053	5295
166	1059	5287
167	1065	5279
168	1072	5272
169	1078	5264
170	1084	5258
171	1090	5251
172	1096	5242
173	1103	5239
174	1112	5242
175	1120	5246
176	1128	5247
177	1134	5240
178	1141	5233
179	1146	5224
180	1152	5216
181	1159	5209
182	1165	5201
183	1171	5194
184	1177	5185
185	1182	5176
186	1188	5167
187	1194	5159
188	1200	5150
189	1206	5142
190	1212	5134
191	1218	5126
192	1224	5118
193	1230	5110
194	1236	5102
195	1343	5511
196	1350	5505
197	1357	5499
198	1364	5493
199	1372	5490
200	1378	5481
201	1384	5470
202	1391	5461
203	1397	5451
204	1402	5440
205	1408	5430
206	1414	5419
207	1420	5409
208	1426	5398
209	1432	5388
210	1438	5377
211	1444	5367
212	1450	5357
213	1456	5348
214	1461	5337
215	1467	5327
216	1474	5318
217	1479	5308
218	1486	5299
219	1492	5290
220	1497	5280
221	1503	5270
222	1509	5260
223	1515	5249
224	1522	5243
225	1528	5233
226	1534	5223
227	1540	5215
228	1546	5206
229	1552	5197
230	1558	5188
231	1564	5178
232	1570	5170
233	1576	5162
234	1583	5153
235	1588	5143
236	1594	5134
237	1600	5124
238	1606	5115
239	1612	5105
240	1618	5096
241	1624	5087
242	1630	5078
243	1636	5070
244	1642	5061
245	1648	5051
246	1654	5043
247	1660	5034
248	1666	5024
249	1672	5016
250	1677	5006
251	1683	4997
252	1689	4988
253	1695	4979
254	1701	4971
255	1707	4962
256	1713	4953
257	1719	4945
258	1725	4936
259	1731	4927
260	1737	4919
261	1743	4911
262	1749	4903
263	1755	4894
264	1761	4885
265	1767	4877
266	1773	4869
267	1779	4860
268	1785	4851
269	1791	4842
270	1796	4833
271	1802	4825
272	1809	4817
273	1815	4809
274	1820	4800
275	1827	4793
276	1833	4785
277	1839	4777
278	1845	4769
279	1851	4761
280	1857	4753
281	1863	4744
282	1870	4738
283	1877	4733
284	1885	4730
285	1893	4727
286	1899	4720
287	1905	4711
288	1911	4703
289	1920	4702
290	1927	4697
291	1935	4692
292	1942	4686
293	1948	4678
294	1955	4672
295	1962	4667
296	1968	4660
297	1975	4652
298	1981	4644
299	1987	4637
300	1993	4628
301	1999	4620
302	2006	4614
303	2011	4606
304	2017	4597
305	2023	4589
306	2029	4581
307	2035	4572
308	2041	4565
309	2047	4557
310	2053	4549
311	2059	4541
312	2065	4533
313	2071	4524
314	2076	4516
315	2083	4509
316	2089	4501
317	2095	4493
318	2100	4485
319	2107	4477
320	2113	4470
321	2119	4461
322	2125	4454
323	2131	4446
324	2138	4440
325	2143	4432
326	2149	4424
327	2155	4416
328	2161	4408
329	2167	4400
330	2173	4392
331	2179	4384
332	2185	4376
333	2190	4368
334	2196	4361
335	2202	4353
336	2208	4345
337	2214	4337
338	2220	4329
339	2226	4322
340	2232	4314
341	2238	4306
342	2244	4299
343	2250	4291
344	2256	4283
345	2262	4275
346	2267	4267
347	2273	4260
348	2280	4253
349	2285	4245
350	2291	4237
351	2297	4229
352	2303	4222
353	2309	4214
354	2315	4207
355	2322	4200
356	2328	4193
357	2334	4187
358	2340	4179
359	2346	4172
360	2352	4164
361	2358	4157
362	2364	4149
363	2370	4141
364	2376	4134
365	2382	4126
366	2388	4119
367	2394	4111
368	2400	4104
369	2406	4097
370	2412	4089
371	2418	4082
372	2423	4074
373	2429	4067
374	2435	4059
375	2441	4052
376	2447	4045
377	2454	4038
378	2460	4032
379	2467	4025
380	2473	4018
381	2479	4010
382	2484	4003
383	2490	3995
384	2496	3988
385	2502	3980
386	2508	3973
387	2521	3977
388	2531	3975
389	2537	3968
390	2543	3961
391	2549	3953
392	2555	3946
393	2561	3939
394	2567	3931
395	2573	3924
396	2579	3917
397	2584	3909
398	2591	3902
399	2596	3895
400	2602	3887
401	2608	3880
402	2614	3873
403	2620	3866
404	2626	3858
405	2632	3851
406	2638	3844
407	2644	3837
408	2651	3831
409	2659	3826
410	2666	3820
411	2673	3815
412	2681	3811
413	2687	3804
414	2693	3797
415	2699	3790
416	2706	3783
417	2712	3776
418	2718	3769
419	2724	3762
420	2730	3755
421	2736	3748
422	2742	3740
423	2748	3733
424	2754	3726
425	2760	3719
426	2766	3712
427	2772	3704
428	2778	3697
429	2783	3690
430	2789	3683
431	2795	3675
432	2801	3668
433	2807	3661
434	2813	3654
435	2819	3647
436	2826	3641
437	2832	3633
438	2838	3627
439	2844	3620
440	2850	3613
441	2856	3606
442	2862	3598
443	2868	3591
444	2874	3584
445	2879	3577
446	2885	3570
447	2891	3563
448	2897	3556
449	2903	3549
450	2909	3541
451	2915	3534
452	2921	3527
453	2927	3520
454	2934	3514
455	2939	3507
456	2945	3500
457	2952	3494
458	2959	3488
459	2965	3480
460	2971	3473
461	2978	3468
462	2985	3462
463	2991	3455
464	2997	3448
465	3003	3442
466	3009	3435
467	3015	3428
468	3021	3421
469	3027	3414
470	3033	3407
471	3040	3401
472	3051	3399
473	3057	3392
474	3063	3385
475	3069	3378
476	3075	3372
477	3081	3365
478	3087	3358
479	3093	3351
480	3099	3344
481	3105	3337
482	3111	3330
483	3118	3324
484	3124	3317
485	3129	3310
486	3135	3303
487	3141	3296
488	3147	3289
489	3153	3282
490	3159	3275
491	3165	3268
492	3171	3261
493	3176	3254
494	3182	3247
495	3188	3240
496	3194	3233
497	3200	3226
498	3206	3219
499	3212	3212
500	3218	3205
501	3224	3198
502	3229	3191
503	3235	3184
504	3241	3177
505	3247	3170
506	3253	3163
507	3259	3156
508	3265	3149
509	3271	3142
510	3276	3135
511	3282	3128
512	3288	3121
513	3294	3115
514	3300	3108
515	3306	3101
516	3312	3094
517	3318	3088
518	3324	3081
519	3330	3074
520	3336	3067
521	3342	3060
522	3348	3053
523	3354	3046
524	3359	3039
525	3365	3033
526	3371	3026
527	3377	3019
528	3383	3012
529	3389	3005
530	3395	2998
531	3401	2992
532	3407	2985
533	3412	2978
534	3418	2971
535	3424	2964
536	3430	2957
537	3436	2951
538	3442	2944
539	3448	2937
540	3454	2930
541	3460	2924
542	3466	2917
543	3472	2910
544	3478	2903
545	3483	2896
546	3490	2890
547	3496	2884
548	3503	2877
549	3509	2871
550	3515	2864
551	3521	2858
552	3527	2851
553	3533	2844
554	3539	2837
555	3545	2831
556	3551	2824
557	3557	2817
558	3563	2811
559	3569	2804
560	3575	2797
561	3581	2791
562	3587	2784
563	3593	2777
564	3599	2770
565	3604	2764
566	3611	2757
567	3616	2750
568	3622	2744
569	3628	2737
570	3634	2730
571	3640	2724
572	3646	2717
573	3652	2710
574	3658	2704
575	3664	2697
576	3670	2690
577	3676	2684
578	3682	2677
579	3688	2670
580	3694	2664
581	3700	2657
582	3705	2650
583	3711	2644
584	3718	2637
585	3724	2631
586	3730	2624
587	3736	2617
588	3742	2611
589	3748	2604
590	3754	2598
591	3759	2591
592	3765	2584
593	3771	2578
594	3777	2571
595	3783	2564
596	3789	2558
597	3795	2551
598	3801	2544
599	3807	2538
600	3813	2531
601	3819	2525
602	3825	2518
603	3833	2513
604	3839	2506
605	3845	2500
606	3851	2493
607	3857	2487
608	3863	2480
609	3869	2474
610	3875	2467
611	3881	2460
612	3887	2454
613	3897	2449
614	3903	2443
615	3908	2436
616	3914	2430
617	3920	2423
618	3926	2416
619	3932	2410
620	3938	2403
621	3944	2397
622	3951	2391
623	3958	2385
624	3964	2378
625	3970	2372
626	3976	2365
627	3981	2358
628	3987	2352
629	3993	2345
630	3999	2338
631	4005	2332
632	4011	2325
633	4017	2319
634	4025	2313
635	4031	2307
636	4037	2300
637	4043	2294
638	4049	2287
639	4055	2281
640	4061	2274
641	4067	2268
642	4073	2261
643	4079	2254
644	4085	2248
645	4090	2241
646	4097	2235
647	4104	2229
648	4109	2222
649	4115	2216
650	4121	2209
651	4127	2203
652	4133	2196
653	4139	2190
654	4145	2183
655	4151	2176
656	4157	2170
657	4163	2163
658	4169	2157
659	4174	2150
660	4180	2144
661	4186	2137
662	4192	2131
663	4198	2124
664	4204	2118
665	4210	2111
666	4216	2104
667	4223	2099
668	4230	2092
669	4236	2086
670	4242	2079
671	4248	2073
672	4254	2067
673	4259	2060
674	4265	2053
675	4271	2047
676	4277	2041
677	4283	2034
678	4290	2028
679	4298	2022
680	4305	2016
681	4313	2011
682	4319	2005
683	4326	1998
684	4334	1993
685	4340	1986
686	4347	1980
687	4355	1975
688	4363	1969
689	4369	1963
690	4375	1956
691	4384	1951
692	4391	1945
693	4398	1939
694	4405	1933
695	4412	1927
696	4420	1921
697	4427	1915
698	4435	1909
699	4442	1903
700	4449	1897
701	4455	1891
702	4462	1885
703	4469	1879
704	4475	1872
705	4483	1866
706	4489	1860
707	4496	1854
708	4505	1849
709	4514	1843
710	4522	1838
711	4531	1832
712	4538	1826
713	4547	1821
714	4555	1815
715	4562	1809
716	4568	1803
717	4575	1797
718	4582	1791
719	4589	1784
720	4598	1779
721	4604	1772
722	4610	1766
723	4615	1759
724	4621	1753
725	4627	1746
726	4633	1739
727	4639	1733
728	4645	1726
729	4651	1720
730	4657	1713
731	4663	1707
732	4669	1700
733	4675	1694
734	4680	1687
735	4686	1681
736	4692	1674
737	4698	1668
738	4704	1661
739	4710	1655
740	4716	1648
741	4722	1642
742	4728	1635
743	4734	1628
744	4740	1622
745	4745	1615
746	4752	1609
747	4758	1603
748	4764	1596
749	4770	1590
750	4777	1583
751	4782	1577
752	4789	1571
753	4795	1564
754	4801	1558
755	4807	1551
756	4813	1545
757	4819	1538
758	4825	1532
759	4831	1525
760	4837	1519
761	4842	1512
762	4848	1506
763	4854	1499
764	4860	1493
765	4866	1486
766	4872	1480
767	4878	1473
768	4884	1467
769	4890	1460
770	4896	1454
771	4902	1447
772	4908	1441
773	4914	1434
774	4920	1428
775	4926	1421
776	4932	1415
777	4938	1409
778	4944	1402
779	4951	1396
780	4957	1390
781	4963	1383
782	4969	1377
783	4975	1370
784	4981	1364
785	4986	1357
786	4992	1351
787	4998	1344
788	5005	1338
789	5011	1332
790	5017	1325
791	5023	1319
792	5029	1312
793	5035	1306
794	5041	1299
795	5046	1293
796	5053	1287
797	5059	1280
798	5066	1274
799	5072	1268
800	5078	1261
801	5085	1255
802	5091	1249
803	5097	1242
804	5103	1236
805	5109	1229
806	5115	1223
807	5121	1217
808	5127	1210
809	5133	1204
810	5139	1197
811	5146	1191
812	5152	1185
813	5158	1178
814	5164	1172
815	5170	1165
816	5176	1159
817	5181	1152
818	5187	1146
819	5193	1140
820	5199	1133
821	5205	1127
822	5211	1120
823	5217	1114
824	5223	1107
825	5229	1101
826	5235	1095
827	5241	1088
828	5246	1082
829	5252	1075
830	5258	1069
831	5264	1063
832	5270	1056
833	5276	1050
834	5281	1043
835	5287	1037
836	5293	1030
837	5300	1024
838	5306	1018
839	5313	1012
840	5322	1006
841	5329	1000
842	5336	993
843	5343	987
844	5350	981
845	5358	975
846	5364	969
847	5371	962
848	5378	956
849	5384	950
850	5391	943
851	5399	937
852	5405	931
853	5412	925
854	5418	918
855	5424	912
856	5430	906
857	5436	899
858	5443	893
859	5449	887
860	5458	881
861	5467	875
862	5474	869
863	5483	863
864	5492	857
865	5500	851
866	5507	844
867	5516	838
868	5523	832
869	5532	826
870	5539	820
871	5547	814
872	5553	807
873	5561	801
874	5568	795
875	5575	789
876	5582	782
877	5588	776
878	5595	770
879	5604	764
880	5612	758
881	5620	751
882	5628	745
883	5635	739
884	5643	733
885	5650	727
886	5658	720
887	5665	714
888	5673	708
889	5681	702
890	5688	695
891	5696	689
892	5703	683
893	5712	677
894	5719	671
895	5726	664
896	5733	658
897	5741	652
898	5748	645
899	5755	639
900	5761	633
901	5771	627
902	5787	621
903	5803	616
904	5815	610
905	5825	604
906	5836	598
907	5844	592
908	5854	586
909	5860	579
910	5867	573
911	5874	566
912	5881	560
913	5888	554
914	5894	547
915	5900	541
916	5906	534
917	5913	528
918	5919	521
919	5925	515
920	5931	508
921	5937	502
922	5943	495
923	5951	489
924	5958	483
925	5964	476
926	5970	470
927	5976	463
928	5982	457
929	5988	450
930	5994	444
931	6000	437
932	6006	431
933	6012	424
934	6017	418
935	6023	411
936	6029	405
937	6035	398
938	6041	392
939	6047	385
940	6052	379
941	6058	373
942	6064	366
943	6070	360
944	6076	353
945	6082	347
946	6088	340
947	6095	334
948	6101	327
949	6107	321
950	6113	314
951	6118	308
952	6124	302
953	6130	295
954	6136	289
955	6142	282
956	6148	276
957	6154	269
958	6160	263
959	6166	256
960	6172	250
961	6178	244
962	6184	237
963	6190	231
964	6196	224
965	6202	218
966	6208	211
967	6213	205
968	6219	198
969	6225	192
970	6231	186
971	6237	179
972	6243	173
973	6249	166
974	6255	160
975	6261	153
976	6267	147
977	6273	141
978	6279	134
979	6284	128
980	6290	121
981	6296	115
982	6302	108
983	6309	102
984	6315	96
985	6321	89
986	6328	83
987	6333	76
988	6339	70
989	6345	64
990	6351	57
991	6357	51
992	6364	44
993	6371	38
994	6379	32
995	6387	25
996	6394	19
997	6400	12
998	6406	6
999	6412	0
